time,open,high,low,close,tick_volume,spread,real_volume,RSI,Avg_Volume,Rel_Volume,Volume_Surge,ATR,ATR_Pct,SMA_20,Distance_SMA_20,SMA_50,Distance_SMA_50,SMA_200,Distance_SMA_200,Golden_Cross,Death_Cross,BB_Upper,BB_Lower,BB_Width,ADX,High_20,Low_20,Near_High_20,Near_Low_20,High_52,Low_52,Near_High_52,Near_Low_52,Change_Pct,Change_3bar,Trend
2024-03-01,137.532,140.082,135.882,140.032,1114,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,Neutral
2024-03-04,140.582,140.932,137.032,137.182,889,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-2.0352490859232297,,Neutral
2024-03-05,136.382,138.732,135.682,137.782,948,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.4373751658381053,,Neutral
2024-03-06,136.782,137.282,132.082,135.682,1350,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-1.5241468406613556,-3.1064328153565057,Neutral
2024-03-07,138.332,141.332,137.932,140.382,1112,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,3.4639819578131448,2.332667551136459,Neutral
2024-03-08,140.782,143.332,140.482,142.332,847,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,1.389066974398423,3.3023181547662124,Neutral
2024-03-11,141.182,143.932,139.882,139.882,886,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-1.7213276002585376,3.095473238896845,Neutral
2024-03-12,136.032,138.082,133.482,137.932,1147,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-1.3940321127807853,-1.7452379934749591,Neutral
2024-03-13,138.482,140.532,137.732,138.532,912,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.4349969550213384,-2.669814237135699,Neutral
2024-03-14,137.382,137.632,134.732,135.032,797,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-2.5264920740334373,-3.4672080753778145,Neutral
2024-03-15,134.832,135.782,133.932,134.282,977,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.5554238995201133,-2.6462314763796493,Neutral
2024-03-18,136.332,138.082,135.532,135.982,917,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,1.2659924636213349,-1.8407299396529402,Neutral
2024-03-19,136.832,137.532,134.432,134.932,764,1685,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.772161021311657,-0.074056519936032,Neutral
2024-03-20,134.032,134.232,130.182,131.382,945,1685,0,34.41441441441445,,,0,4.000000000000002,3.0445570930568886,,,,,,,0,0,,,,,,,0,0,,,0,0,-2.630954851332512,-2.1596342026481623,Neutral
2024-03-21,134.232,135.782,131.832,135.582,1414,1685,0,43.035993740219084,,,0,4.014285714285718,2.960780718890205,,,,,,,0,0,,,,,,,0,0,,,0,0,3.1967849477097188,-0.2941565795472972,Neutral
2024-03-22,134.882,137.682,134.882,135.832,760,1685,0,47.70017035775129,,,0,3.9357142857142895,2.897486811439344,,,,,,,0,0,,,,,,,0,0,,,0,0,0.18439025829386502,0.667002638365996,Neutral
2024-03-25,133.832,136.082,133.682,135.232,1170,1685,0,45.65587734241907,,,0,3.8892857142857173,2.876009904671762,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.4417221273337657,2.93038620206725,Neutral
2024-03-26,134.032,134.832,133.232,134.132,1231,1685,0,47.26631393298063,,,0,3.625000000000002,2.7025616556824636,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.8134169427354454,-1.0694634981044597,Neutral
2024-03-27,133.832,135.382,133.632,135.332,375,1685,0,39.83903420523136,,,0,3.346428571428573,2.4727548336155327,,,,,,,0,0,,,,,,,0,0,,,0,0,0.8946410998121213,-0.3681017727781377,Neutral
2024-04-02,137.332,139.482,136.082,136.282,1148,1685,0,37.31656184486377,985.15,1.1653047759224484,0,3.43214285714286,2.5184124514923907,136.68699999999998,-0.2962973801458608,,,,,0,0,141.861115739352,131.51288426064798,7.570750311810201,,143.932,130.182,0,0,,,0,0,0.701977359382866,0.7764434453383898,Neutral
2024-04-03,134.232,138.982,133.682,138.882,1429,1685,0,47.916666666666664,1000.9,1.4277150564491958,0,3.5214285714285762,2.535554334923587,136.62949999999998,1.6486190756754775,,,,,0,0,141.67095707843313,131.58804292156682,7.379748997739369,,143.932,130.182,0,0,,,0,0,1.9078088082065126,3.5412876867563297,Neutral
2024-04-04,138.882,139.332,136.932,137.482,687,1685,0,49.040511727078915,990.8,0.693379087605975,0,3.2357142857142907,2.353554854973226,136.6445,0.6129042881345431,,,,,0,0,141.6946563290029,131.5943436709971,7.391671569661279,,143.932,130.182,0,0,,,0,0,-1.0080499992799696,1.588685602813825,Neutral
2024-04-05,136.682,139.382,135.532,138.482,1305,1685,0,49.895178197064965,1008.65,1.2938085559906807,0,3.3107142857142895,2.390718133558361,136.67950000000002,1.3187786024970682,,,,,0,0,141.77237169534664,131.5866283046534,7.452283181232907,,143.932,130.182,0,0,,,0,0,0.7273679463493332,1.614299760790118,Neutral
2024-04-08,137.882,138.832,135.332,135.682,988,1685,0,51.40388768898483,990.55,0.9974256726061279,0,3.2892857142857173,2.4242609294421644,136.67950000000002,-0.7298095178867574,,,,,0,0,141.77237169534664,131.5866283046534,7.452283181232907,,143.932,130.182,0,0,,,0,0,-2.021923426871375,-2.304114284068502,Neutral
2024-04-09,133.432,134.482,130.582,133.932,1144,1685,0,49.275362318840536,992.15,1.1530514539132188,0,3.5214285714285722,2.6292660241231167,136.357,-1.7784198831009859,,,,,0,0,141.27661701547456,131.43738298452544,7.2157894577829635,,143.932,130.182,0,0,,,0,0,-1.2897805162070175,-2.582156209540166,Neutral
2024-04-10,136.682,137.632,134.082,137.632,1221,1685,0,53.15487571701721,1010.85,1.2078943463421872,0,3.5142857142857173,2.553392898661443,136.122,1.1092990111811396,,,,,0,0,140.22034369625476,132.02365630374527,6.021574317530956,,143.932,130.182,0,0,,,0,0,2.762595944210511,-0.6137981831573738,Neutral
2024-04-11,139.032,145.482,137.332,144.032,1373,1685,0,64.44444444444449,1035.2,1.3263137557959814,0,3.875000000000002,2.690374361253056,136.3295,5.649914361895273,,,,,0,0,141.50743649205828,131.15156350794172,7.596208439198089,,145.482,130.182,1,0,,,0,0,4.650081376424087,6.154095605902053,Neutral
