time,open,high,low,close,tick_volume,spread,real_volume,RSI,Avg_Volume,Rel_Volume,Volume_Surge,ATR,ATR_Pct,SMA_20,Distance_SMA_20,SMA_50,Distance_SMA_50,SMA_200,Distance_SMA_200,Golden_Cross,Death_Cross,BB_Upper,BB_Lower,BB_Width,ADX,High_20,Low_20,Near_High_20,Near_Low_20,High_52,Low_52,Near_High_52,Near_Low_52,Change_Pct,Change_3bar,Trend
2024-08-02,18.53,18.56,17.42,17.82,1999,18,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,Neutral
2024-08-05,16.32,17.24,16.32,17.09,2816,18,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-4.096520763187428,,Neutral
2024-08-06,17.01,17.51,17.0,17.3,2114,18,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,1.2287887653598561,,Neutral
2024-08-07,17.41,17.43,16.66,16.71,2056,18,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-3.410404624277452,-6.228956228956226,Neutral
2024-08-08,16.87,17.28,16.83,17.25,2206,18,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,3.2315978456014305,0.936220011702751,Neutral
2024-08-09,17.24,17.34,17.08,17.32,1381,18,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.40579710144927894,0.11560693641618251,Neutral
2024-08-12,18.22,18.97,18.09,18.93,3708,18,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,9.295612009237875,13.285457809694787,Neutral
2024-08-13,19.1,19.22,18.9,19.04,1209,18,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.5810882197569978,10.376811594202893,Neutral
2024-08-14,18.95,19.07,18.67,19.06,1647,18,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.10504201680672232,10.046189376443408,Neutral
2024-08-15,18.95,19.18,18.64,18.96,1654,18,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.5246589716684014,0.1584786053882786,Neutral
