win_rate,avg_win,avg_loss,profit_factor,expectancy,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,total_return,strategy,symbol,timeframe,total_trades
49.45,0.9,-0.67,1.32,0.106,1.95,5.0,-7.16,1.35,9.68,RSI Oversold Bounce,GOLD,H1,91
50.82,0.98,-0.73,1.39,0.14,2.35,6.29,-4.76,1.79,8.51,Bollinger Mean Reversion,GOLD,H1,61
41.67,1.04,-0.51,1.45,0.134,2.65,17.11,-3.11,1.03,3.21,SMA Golden Cross,GOLD,H1,24
49.03,0.94,-0.65,1.4,0.132,2.47,8.38,-7.99,7.64,61.04,Channel Breakout,GOLD,H1,463
47.85,0.87,-0.62,1.3,0.096,1.92,5.84,-5.67,3.55,20.15,ADX Trend Following,GOLD,H1,209
50.42,0.88,-0.58,1.54,0.155,3.2,13.09,-8.37,4.36,36.52,Adrenaline + SMC,GOLD,H1,236
50.65,1.7,-1.1,1.59,0.318,3.51,17.41,-5.17,4.73,24.45,New High Continuation,GOLD,H4,77
36.36,3.02,-1.48,1.17,0.161,1.1,3.62,-14.53,0.24,3.54,RSI Oversold Bounce,GOLD,H4,22
53.85,2.12,-2.22,1.11,0.116,0.82,2.71,-7.05,0.21,1.51,Bollinger Mean Reversion,GOLD,H4,13
37.5,1.33,-1.08,0.74,-0.175,-2.34,-12.27,-2.0,-0.7,-1.4,SMA Golden Cross,GOLD,H4,8
54.24,1.84,-1.26,1.72,0.417,4.06,15.33,-7.05,6.98,49.21,Channel Breakout,GOLD,H4,118
47.06,1.91,-1.32,1.28,0.197,1.83,5.86,-11.07,0.91,10.06,ADX Trend Following,GOLD,H4,51
50.0,1.76,-1.08,1.63,0.34,3.7,22.47,-4.47,4.86,21.73,Adrenaline + SMC,GOLD,H4,64
0.0,0.0,-1.43,0.0,-1.432,0.0,0.0,0.0,0.0,-1.43,Top Gainers + Volume,GOLD,M15,1
42.83,0.43,-0.3,1.08,0.013,0.54,1.49,-15.28,1.24,18.89,New High Continuation,GOLD,M15,1422
0.0,0.0,-0.42,0.0,-0.424,0.0,0.0,0.0,0.0,-0.42,Volatility Breakout,GOLD,M15,1
42.76,0.42,-0.27,1.17,0.026,1.09,3.33,-3.59,2.16,7.73,RSI Oversold Bounce,GOLD,M15,297
42.33,0.42,-0.29,1.04,0.007,0.29,0.74,-7.49,0.21,1.54,Bollinger Mean Reversion,GOLD,M15,215
38.78,0.45,-0.3,0.94,-0.012,-0.46,-1.45,-4.98,-0.23,-1.14,SMA Golden Cross,GOLD,M15,98
44.2,0.51,-0.34,1.17,0.032,1.09,3.08,-11.68,4.35,50.81,Channel Breakout,GOLD,M15,1586
44.9,0.45,-0.3,1.21,0.036,1.38,3.63,-5.54,5.09,28.22,ADX Trend Following,GOLD,M15,784
42.34,0.41,-0.27,1.11,0.017,0.72,2.01,-6.94,2.03,14.12,Adrenaline + SMC,GOLD,M15,855
100.0,13.92,0.0,13915.3,13.915,0.0,0.0,0.0,0.0,13.92,Top Gainers + Volume,KinrossGold,D1,1
50.0,9.76,-6.56,1.49,1.598,3.11,0.0,0.0,0.0,3.2,New High Continuation,KinrossGold,D1,2
55.56,10.02,-5.93,2.11,2.935,5.75,62.76,-17.69,2.99,52.83,Channel Breakout,KinrossGold,D1,18
53.85,10.59,-7.25,1.7,2.353,4.14,39.49,-35.86,0.85,30.59,ADX Trend Following,KinrossGold,D1,13
50.0,10.35,-6.13,1.69,2.11,3.97,78.9,-11.95,1.41,16.88,Adrenaline + SMC,KinrossGold,D1,8
53.57,4.44,-2.35,2.18,1.288,5.74,31.73,-10.23,3.52,36.06,Top Gainers + Volume,KinrossGold,H1,28
44.83,3.13,-2.1,1.21,0.245,1.47,8.21,-34.48,1.03,35.6,New High Continuation,KinrossGold,H1,145
47.31,3.41,-2.12,1.45,0.497,2.76,13.93,-23.03,2.01,46.18,RSI Oversold Bounce,KinrossGold,H1,93
39.13,3.66,-2.12,1.11,0.146,0.79,4.18,-14.05,0.48,6.72,Bollinger Mean Reversion,KinrossGold,H1,46
41.38,3.27,-2.42,0.95,-0.065,-0.35,-1.52,-11.73,-0.16,-1.87,SMA Golden Cross,KinrossGold,H1,29
44.53,3.33,-2.15,1.24,0.289,1.62,8.7,-36.47,2.97,108.37,Channel Breakout,KinrossGold,H1,375
50.49,3.43,-2.27,1.54,0.606,3.23,16.45,-25.8,4.84,124.79,ADX Trend Following,KinrossGold,H1,206
46.52,3.31,-2.13,1.35,0.403,2.28,12.4,-27.98,2.7,75.44,Adrenaline + SMC,KinrossGold,H1,187
58.33,7.68,-5.12,2.1,2.344,5.68,43.95,-14.62,1.92,28.12,Top Gainers + Volume,KinrossGold,H4,12
50.0,6.59,-3.74,1.76,1.424,4.16,44.84,-11.92,2.39,28.48,New High Continuation,KinrossGold,H4,20
54.55,6.78,-4.01,2.03,1.879,5.4,53.32,-21.08,1.96,41.34,RSI Oversold Bounce,KinrossGold,H4,22
41.67,6.07,-3.86,1.13,0.282,0.91,8.98,-8.28,0.41,3.39,Bollinger Mean Reversion,KinrossGold,H4,12
33.33,6.04,-4.33,0.7,-0.875,-2.83,-24.39,-7.55,-0.7,-5.25,SMA Golden Cross,KinrossGold,H4,6
45.0,6.66,-4.24,1.29,0.668,1.89,12.1,-46.04,1.16,53.47,Channel Breakout,KinrossGold,H4,80
50.0,6.62,-4.43,1.49,1.095,3.05,15.45,-25.5,2.4,61.33,ADX Trend Following,KinrossGold,H4,56
46.94,6.46,-4.34,1.32,0.727,2.07,10.93,-19.41,1.84,35.65,Adrenaline + SMC,KinrossGold,H4,49
47.06,2.33,-1.37,1.51,0.368,2.89,14.67,-17.52,1.43,25.03,Top Gainers + Volume,KinrossGold,M15,68
42.3,1.36,-0.89,1.12,0.061,0.82,2.93,-19.1,3.22,61.45,New High Continuation,KinrossGold,M15,1007
71.43,1.87,-0.88,5.32,1.087,12.95,69.08,-1.13,6.74,7.61,Volatility Breakout,KinrossGold,M15,7
45.01,1.37,-0.94,1.19,0.1,1.28,4.09,-13.34,2.93,39.06,RSI Oversold Bounce,KinrossGold,M15,391
50.0,1.33,-0.9,1.49,0.218,2.89,9.77,-7.28,7.17,52.21,Bollinger Mean Reversion,KinrossGold,M15,240
37.38,1.7,-1.08,0.94,-0.043,-0.47,-1.74,-23.57,-0.2,-4.61,SMA Golden Cross,KinrossGold,M15,107
42.52,1.63,-1.09,1.11,0.066,0.74,2.91,-49.14,1.94,95.15,Channel Breakout,KinrossGold,M15,1437
39.52,1.75,-1.1,1.04,0.028,0.3,1.28,-46.4,0.37,17.34,ADX Trend Following,KinrossGold,M15,620
39.63,1.44,-0.95,0.99,-0.005,-0.06,-0.22,-51.03,-0.09,-4.38,Adrenaline + SMC,KinrossGold,M15,873
