time,open,high,low,close,tick_volume,spread,real_volume,RSI,Avg_Volume,Rel_Volume,Volume_Surge,ATR,ATR_Pct,SMA_20,Distance_SMA_20,SMA_50,Distance_SMA_50,SMA_200,Distance_SMA_200,Golden_Cross,Death_Cross,BB_Upper,BB_Lower,BB_Width,ADX,High_20,Low_20,Near_High_20,Near_Low_20,High_52,Low_52,Near_High_52,Near_Low_52,Change_Pct,Change_3bar,Trend
2024-07-22 13:45:00,2406.82,2408.26,2405.81,2406.7,1933,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,Neutral
2024-07-22 14:00:00,2406.72,2407.48,2403.87,2403.93,1616,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.11509535879004051,,Neutral
2024-07-22 14:15:00,2403.94,2404.92,2401.95,2403.02,1653,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.037854679628768206,,Neutral
2024-07-22 14:30:00,2403.04,2404.45,2400.99,2400.99,1651,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.08447703306673215,-0.23725433165745782,Neutral
2024-07-22 14:45:00,2400.99,2401.41,2397.9,2397.9,2149,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.12869691252357374,-0.2508392507269241,Neutral
2024-07-22 15:00:00,2397.92,2398.44,2394.42,2394.72,2844,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.1326160390341724,-0.34539870662750133,Neutral
2024-07-22 15:15:00,2394.72,2399.43,2393.57,2396.72,3211,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.08351707088929405,-0.17784330630281603,Neutral
2024-07-22 15:30:00,2396.74,2397.14,2388.68,2393.53,3933,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.13309856804297748,-0.18224279577963595,Neutral
2024-07-22 15:45:00,2393.47,2397.22,2391.85,2394.19,3205,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.027574335813618234,-0.022132023785651156,Neutral
2024-07-22 16:00:00,2394.18,2400.06,2394.03,2397.65,4028,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,0.14451651706839375,0.03880303080878413,Neutral
2024-07-22 16:15:00,2397.45,2398.67,2395.37,2396.38,3155,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.05296853168728077,0.11907099555885695,Neutral
2024-07-22 16:30:00,2396.38,2398.79,2392.71,2393.57,4757,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.11726020080287114,-0.025896023289709292,Neutral
2024-07-22 16:45:00,2393.54,2394.41,2391.36,2392.61,2994,29,0,,,,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.04010745455532705,-0.21020582653848408,Neutral
2024-07-22 17:00:00,2392.57,2394.68,2391.26,2393.96,3873,29,0,26.986994219653056,,,0,4.39928571428566,0.1837660493193562,,,,,,,0,0,,,,,,,0,0,,,0,0,0.05642373809353618,-0.10098565336048844,Neutral
2024-07-22 17:15:00,2393.98,2394.51,2386.45,2386.52,3737,29,0,21.269931662869936,,,0,4.7999999999999545,0.2011296783601208,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.3107821350398554,-0.29453911939070854,Neutral
2024-07-22 17:30:00,2386.51,2389.02,2383.79,2388.79,4006,29,0,28.13402657423437,,,0,4.915714285714232,0.2057826048214465,,,,,,,0,0,,,,,,,0,0,,,0,0,0.09511757705780166,-0.1596582811239677,Neutral
2024-07-22 17:45:00,2388.8,2389.04,2385.38,2387.1,3331,29,0,27.514124293784974,,,0,4.964999999999918,0.20799296217166932,,,,,,,0,0,,,,,,,0,0,,,0,0,-0.07074711464800654,-0.2865544954802974,Neutral
