symbol,timeframe,strategy,params,total_return,win_rate,sharpe_ratio,profit_factor,num_trades,robust,oos_profitable_windows,total_oos_return,total_windows
AgnicoEagleMines,H1,TrendFollowing,"fast=8,slow=21",-0.39184815980688503,0.49675982179019845,-0.15943641621020943,0.9689379053639987,4999,True,4,0.35210342989566557,5
AgnicoEagleMines,H1,VolatilityExpansion,"ema=20,mult=1.5",0.5204051377291059,0.5128068303094984,0.37651047937670884,1.122494382107956,1906,True,4,0.19467208184424756,5
AgnicoEagleMines,H1,VolatilityExpansion,"ema=50,mult=1.5",0.40807559639286006,0.504169339320077,0.220471586049182,1.0552107966144375,3158,True,4,0.1427417008551206,5
AgnicoEagleMines,H1,VolatilityExpansion,"ema=20,mult=2.0",0.4139894270712502,0.5158069883527454,0.3971861538757137,1.1583862395379263,1222,True,4,0.24786493511252372,5
AgnicoEagleMines,H1,VolatilityExpansion,"ema=50,mult=2.0",0.2642745819433996,0.5017435102673382,0.160188039323311,1.0435033920004195,2616,True,4,0.19448191965821848,5
AgnicoEagleMines,H1,VolatilityExpansion,"ema=20,mult=2.5",0.34977393388624334,0.5229485396383866,0.41600505158053774,1.2222665632909793,729,True,4,0.18725960750966486,5
AgnicoEagleMines,H1,VolatilityExpansion,"ema=50,mult=2.5",0.44146147066010866,0.5104521147301896,0.31009190454240837,1.0960237278322886,2085,True,4,0.12072373609027509,5
AgnicoEagleMines,H1,VolatilityExpansion,"ema=20,mult=3.0",0.23619634802679634,0.5236842105263158,0.4006308089775321,1.2912765955648664,384,True,4,0.17969465136221696,5
AgnicoEagleMines,H1,VolatilityExpansion,"ema=50,mult=3.0",0.29258807806780607,0.5041533546325878,0.23885056262552104,1.0841685994069743,1588,True,4,0.19280162141470392,5
AgnicoEagleMines,H1,VolatilityExpansion,"ema=50,mult=3.5",0.1710477970921248,0.5085763293310464,0.15978521146166838,1.0649673778332058,1186,True,4,0.17148303540428234,5
AgnicoEagleMines,H4,MeanReversion,"window=50,z=2.0",0.4070869252480367,0.5183553597650514,0.16934315607488537,1.0875102182970326,686,True,4,0.11225997140923372,5
AgnicoEagleMines,H4,MeanReversion,"window=50,z=2.25",0.3981547214914548,0.5097087378640777,0.22873961317960514,1.15549782949138,415,True,4,0.125288800672951,5
