symbol,timeframe,strategy,params,total_return,win_rate,sharpe_ratio,profit_factor,num_trades,robust,oos_profitable_windows,total_oos_return,total_windows
ADP,H1,MeanReversion,"window=20,z=2.0",-0.006426383638526545,0.49356223175965663,-0.011826821228893497,0.9930187876696205,511,True,4,0.012177758359093627,5
ADP,H1,TrendFollowing,"fast=10,slow=30",0.03952384980083856,0.5072007200720072,0.023478100187489612,1.0047019189088289,4998,True,4,0.17812617648093054,5
ADP,H1,TrendFollowing,"fast=13,slow=34",0.10399616776702847,0.5083258325832584,0.06177657994494165,1.0124194375475832,4998,True,4,0.20831388941517281,5
ADP,H4,MeanReversion,"window=20,z=1.5",-0.6001242943851616,0.4978932584269663,-0.28603932630959666,0.90307771369598,1472,True,4,0.1469067058917649,5
ADP,H4,MeanReversion,"window=100,z=1.5",-0.4244185700367107,0.49261400128452154,-0.18373855086699778,0.9346182890766455,1607,True,4,0.2595536497464035,5
ADP,H4,MeanReversion,"window=100,z=2.25",-0.1433879550364815,0.4762886597938144,-0.12516438003880728,0.9275510619645536,498,True,4,0.09251901136393859,5
ADP,M15,MeanReversion,"window=20,z=1.5",0.07242518631259265,0.5369244135534318,0.1140055553282376,1.0541402162750415,1429,True,4,0.014110257808553128,5
ADP,M15,MeanReversion,"window=50,z=1.75",-0.011924770672318008,0.529639175257732,-0.028786138853555538,0.9865060857166419,975,True,4,0.022867926514124615,5
ADP,M15,MeanReversion,"window=100,z=1.75",-0.10990178959264363,0.5088105726872246,-0.2619510854538426,0.8942648700030437,1140,True,4,0.011330860418824362,5
ADP,M15,MeanReversion,"window=100,z=2.0",-0.05059350728828815,0.533678756476684,-0.13792524005633433,0.9264294020284267,719,True,4,0.024933100584421664,5
ADP,M15,TrendFollowing,"fast=21,slow=55",0.355397694707953,0.50130005200208,0.39714692394041096,1.091987223383522,4998,True,4,0.1395330553768016,5
ADP,M15,TrendFollowing,"fast=34,slow=89",0.3816539900520547,0.5065002600104004,0.4265080501663187,1.0991199176055406,4998,True,4,0.13902977429479113,5
ADP,M15,TrendFollowing,"fast=50,slow=200",-0.12676717929369452,0.5059802392095684,-0.14162007257215256,0.9691161078280335,4998,True,5,0.18853640722595533,5
AXA,H1,TrendFollowing,"fast=10,slow=30",0.09464826918274882,0.5087755954868366,0.07113758412757894,1.0146787428694204,4999,True,4,0.08945384680340152,5
