symbol,timeframe,strategy,params,total_return,win_rate,sharpe_ratio,profit_factor,num_trades,robust,oos_profitable_windows,total_oos_return,total_windows
ABInbev,H1,MeanReversion,"window=20,z=1.5",0.0536623585682095,0.5203252032520326,0.0717114987124945,1.0289747543159944,1443,True,4,0.1176998983574842,5
ABInbev,H1,MeanReversion,"window=20,z=2.25",0.0763068883283148,0.5698924731182796,0.2336982930161582,1.211790091295402,286,True,4,0.0390057541165156,5
ABInbev,H1,MeanReversion,"window=50,z=2.25",0.0994610004794279,0.5244215938303342,0.2739191806206656,1.1877477160142986,409,True,4,0.039827341257055,5
ABInbev,H1,MeanReversion,"window=20,z=2.5",0.0404134604779262,0.5695364238410596,0.1492601530491363,1.1846439655168792,155,True,5,0.0292712725566772,5
ABInbev,H1,MeanReversion,"window=50,z=2.5",0.1281180481120862,0.5269709543568465,0.4389905189794679,1.4242430458014703,251,True,4,0.0248095802885073,5
ABInbev,H1,TrendFollowing,"fast=5,slow=20",0.1716546142578772,0.5067739204064352,0.1232208486024573,1.0266444347467256,4999,True,4,0.1275426974318727,5
ABInbev,H1,TrendFollowing,"fast=8,slow=21",0.1575333051766509,0.506138865368332,0.1130834458223129,1.02442573853191,4999,True,4,0.2002268934062825,5
ABInbev,H1,TrendFollowing,"fast=13,slow=34",0.2291783480263245,0.5059271803556308,0.164517665484345,1.0357328652159288,4999,True,4,0.2460298541537902,5
ABInbev,H4,MeanReversion,"window=100,z=1.5",-0.2557652670017791,0.5061969993476843,-0.1338507317644024,0.9525626724442298,1554,True,4,0.1055189584398912,5
ABInbev,H4,MeanReversion,"window=50,z=2.0",-0.2237799849467917,0.5081168831168831,-0.1840026358010746,0.905668008951496,627,True,4,0.1622425005270182,5
ABInbev,H4,MeanReversion,"window=50,z=2.25",-0.0695077213957973,0.5140664961636828,-0.0683060273097555,0.955237789502257,399,True,4,0.0995695525553717,5
ABInbev,H4,MeanReversion,"window=20,z=2.75",0.0024689154839694,0.4936708860759494,0.0056327778957647,1.0089031380675677,78,True,4,0.0592723496754835,5
ABInbev,M15,MeanReversion,"window=50,z=1.75",0.0829315008252147,0.5084175084175084,0.2419477368916598,1.1170902367372897,998,True,4,0.0326767068562022,5
ABInbev,M15,MeanReversion,"window=50,z=2.5",0.0692967110994881,0.573394495412844,0.3477254100170457,1.3913917771097877,237,True,4,0.0289364391577066,5
ABInbev,M15,MeanReversion,"window=100,z=2.5",0.0208960831120572,0.5175097276264592,0.1064102377079037,1.0977700953518643,277,True,4,0.0197266709546232,5
ABInbev,M15,TrendFollowing,"fast=5,slow=20",-0.191157894726478,0.4932218707636692,-0.2421337443204159,0.9433247573499814,4999,True,4,0.0483554153416794,5
ABInbev,M15,TrendFollowing,"fast=34,slow=89",0.2578062574143163,0.5133303208314505,0.3265862643482408,1.0818853145819476,4999,True,4,0.0499707653462417,5
APERAM,H1,MeanReversion,"window=100,z=2.0",-0.1147798400774364,0.4875389408099688,-0.1353972123481641,0.9312974415893508,680,True,4,0.0207698232102643,5
APERAM,H1,VolatilityExpansion,"ema=50,mult=3.0",0.0877662327510638,0.5003750937734434,0.0740877160940412,1.0278260775321977,1425,True,4,0.0262322171589085,5
APERAM,H4,MeanReversion,"window=100,z=1.5",-0.5624305543139894,0.4860449285228046,-0.2243124356877752,0.9269328572072996,1488,True,4,0.2674488846880068,5
APERAM,H4,MeanReversion,"window=20,z=1.75",-0.5343810104859377,0.4778578784757981,-0.2651662632198118,0.8984990446293114,988,True,4,0.1758887570939552,5
APERAM,H4,MeanReversion,"window=100,z=1.75",-0.4671221412418506,0.4802371541501976,-0.2167253582749169,0.9158387445769344,1027,True,4,0.1112831389209961,5
APERAM,H4,MeanReversion,"window=50,z=2.5",-0.1862101260054242,0.4789272030651341,-0.1762069204420398,0.8769361660613623,265,True,4,0.0154685594674167,5
APERAM,H4,TrendFollowing,"fast=50,slow=200",-0.7509301162018601,0.4938900203665988,-0.1718161109330716,0.9691932739495646,4999,True,4,0.3974775114303935,5
APERAM,M15,MeanReversion,"window=100,z=1.5",0.1067393052970997,0.5234138972809668,0.1813103973295568,1.065477521852133,1518,True,4,0.0421994647446462,5
APERAM,M15,MeanReversion,"window=20,z=1.75",0.0670785430690631,0.4881693648816936,0.1358805706304962,1.0640263154543674,908,True,4,0.0386716273410931,5
APERAM,M15,MeanReversion,"window=50,z=1.75",0.0361494299313894,0.5142857142857142,0.0744134293726585,1.032935380113135,950,True,4,0.0396806835075084,5
APERAM,M15,MeanReversion,"window=50,z=2.0",-0.0018411093875921,0.5235404896421846,-0.0045053806370122,0.99757092129967,598,True,4,0.029819590754204,5
AUDCAD,H1,MeanReversion,"window=50,z=1.5",0.0483322950045849,0.5335994677312043,0.2799075859029073,1.0990929155324294,1509,True,4,0.0137607383395201,5
AUDCAD,H1,MeanReversion,"window=50,z=1.75",0.0499187805935797,0.5442307692307692,0.3260762318611152,1.146242231163451,1045,True,5,0.0151802068726879,5
AUDCAD,H1,TrendFollowing,"fast=5,slow=20",0.0090551520154822,0.4932636235672632,0.0301288910133838,1.0056353308780244,4999,True,4,0.0449969247536203,5
AUDCAD,M15,MeanReversion,"window=20,z=1.5",0.0725948899986203,0.5696969696969697,1.0983633569403313,1.480126144156226,1345,True,5,0.0168845773483684,5
AUDCAD,M15,MeanReversion,"window=100,z=1.5",0.0332502272202588,0.5104629042485732,0.4949058357870688,1.1639206709367462,1607,True,4,0.0140496072955135,5
AUDCAD,M15,MeanReversion,"window=20,z=1.75",0.0657454895363538,0.5932611311672683,1.2028029047891022,1.735544736073,845,True,5,0.0125499585803054,5
AUDCAD,M15,MeanReversion,"window=100,z=1.75",0.0291101117336278,0.5082108902333622,0.5023442393401921,1.1966937539028872,1176,True,4,0.0120776862085034,5
AUDCHF,H1,MeanReversion,"window=20,z=1.5",0.1954561463040943,0.5517241379310345,0.875050862956792,1.3726148343542894,1347,True,4,0.0242776879224448,5
AUDCHF,H1,MeanReversion,"window=50,z=1.5",0.0871446083283773,0.5163710777626194,0.3503926875649981,1.1355545423595683,1472,True,4,0.0275686610103584,5
AUDCHF,H1,MeanReversion,"window=20,z=1.75",0.0957656126189905,0.5555555555555556,0.5313158929827791,1.2719368277471272,844,True,4,0.0172838778563236,5
AUDCHF,H1,MeanReversion,"window=20,z=2.0",0.054038673893929,0.5693877551020409,0.3715329117634965,1.254823077224057,492,True,4,0.021932672295628,5
AUDCHF,H1,MeanReversion,"window=100,z=2.25",0.0179195086727045,0.5105882352941177,0.115454976681921,1.0843221349548111,426,True,4,0.0122226983697538,5
AUDCHF,H1,MeanReversion,"window=100,z=2.5",0.0126756558026964,0.515748031496063,0.090881086454778,1.0906622307054608,255,True,4,0.0116362891229452,5
AUDCHF,H4,TrendFollowing,"fast=8,slow=21",-0.0488328395387507,0.4896440780213151,-0.0638796769162026,0.988334422352301,4999,True,4,0.0625199781529772,5
AUDCHF,M15,MeanReversion,"window=20,z=1.5",0.0684976756553114,0.5602553870710295,0.71754041800234,1.2901506169458758,1277,True,5,0.021330772859014,5
AUDCHF,M15,MeanReversion,"window=50,z=1.5",0.0450529124952057,0.5318818040435459,0.4883348729167746,1.181949388025045,1303,True,4,0.0193464037521297,5
AUDCHF,M15,MeanReversion,"window=20,z=1.75",0.0588518534876861,0.5716034271725826,0.7338543897882142,1.3875559011539682,829,True,5,0.0213450948247768,5
AUDCHF,M15,MeanReversion,"window=50,z=1.75",0.0298979749604169,0.525564803804994,0.3883608597104072,1.1756088629415375,854,True,5,0.0138385378778201,5
AUDCHF,M15,MeanReversion,"window=20,z=2.0",0.022651625757096,0.5575396825396826,0.3445354471737702,1.2146424521158026,513,True,4,0.0111928705500646,5
AUDCHF,M15,MeanReversion,"window=20,z=2.25",0.0262886410206195,0.571969696969697,0.5439698490316504,1.5078115472563884,269,True,4,0.0107480017521132,5
AUDJPY,H1,MeanReversion,"window=20,z=1.5",0.0782516341154521,0.5139171758316361,0.2980311825591344,1.1132084541474223,1480,True,4,0.0155539647819833,5
AUDJPY,H1,MeanReversion,"window=50,z=2.25",0.025528536561288,0.5223463687150838,0.1968973089494167,1.1441382027567712,359,True,4,0.0136914051181398,5
AUDJPY,H1,TrendFollowing,"fast=21,slow=55",0.0510356325227957,0.5101589217461275,0.107384941840449,1.0221226015675164,4999,True,4,0.0266392569754735,5
AUDJPY,H1,VolatilityExpansion,"ema=50,mult=2.0",0.0158129111048178,0.4986241056686846,0.0525987498572573,1.017741222308465,1824,True,4,0.0168315053028293,5
AUDJPY,H4,MeanReversion,"window=100,z=2.25",0.0868508227687532,0.5190156599552572,0.2624275615217228,1.1775971756790853,446,True,4,0.0320198147885553,5
AUDJPY,H4,TrendFollowing,"fast=34,slow=89",-0.2538766647666078,0.4919775371038909,-0.2704597114571801,0.9502648347630884,4999,True,4,0.0550120659502306,5
AUDJPY,H4,VolatilityExpansion,"ema=20,mult=2.0",-0.0093265487025063,0.4916030534351145,-0.0228745634295963,0.9880500382309688,656,True,5,0.0870865646410513,5
AUDJPY,H4,VolatilityExpansion,"ema=50,mult=2.5",-0.0100268532985813,0.5039096437880104,-0.0206205318796368,0.9918211413025024,1156,True,4,0.0510213552807109,5
AUDJPY,M15,MeanReversion,"window=20,z=1.75",0.0334227773812921,0.5477031802120141,0.4060977215592966,1.1905148043514202,854,True,4,0.0131672957049157,5
AUDJPY,M15,TrendFollowing,"fast=10,slow=30",-0.0102016819242136,0.4990910927085437,-0.0579892328031349,0.9896577915506752,4999,True,4,0.0152305811756985,5
AUDJPY,M15,TrendFollowing,"fast=13,slow=34",-0.0262055755101451,0.49565744294082,-0.1489654362026638,0.9736472251593188,4999,True,5,0.0191919812002538,5
AUDJPY,M15,TrendFollowing,"fast=21,slow=55",0.0019938194728803,0.4976772369218339,0.0113333585905392,1.0020338568015534,4999,True,4,0.0215973038861456,5
AUDJPY,M15,TrendFollowing,"fast=34,slow=89",-0.0042544783510618,0.4974752575237325,-0.024183519669777,0.9956738755216412,4999,True,4,0.0332187079389174,5
AUDJPY,M15,TrendFollowing,"fast=50,slow=200",0.0095053514975831,0.5001009896990507,0.054031047031694,1.0097335166887,4999,True,4,0.0303039349471607,5
AUDNZD,H1,MeanReversion,"window=20,z=1.75",0.0576465394142636,0.5441657579062159,0.6165902963500083,1.3070887470366306,928,True,4,0.0116885896096375,5
AUDNZD,H1,MeanReversion,"window=20,z=2.0",0.0462179025883859,0.5452898550724637,0.579635274470235,1.3880398537106946,561,True,4,0.0101643548252352,5
AUDNZD,H1,MeanReversion,"window=100,z=2.0",0.0455660488654269,0.5396825396825397,0.5653262806755226,1.3333100741317243,635,True,4,0.011255279899628,5
AUDNZD,H1,MeanReversion,"window=20,z=2.25",0.0319156689413008,0.5732899022801303,0.542837033491178,1.4874901802630365,309,True,4,0.0115155608750803,5
AUDNZD,H1,TrendFollowing,"fast=5,slow=20",-0.0865615845499988,0.4852644327815906,-0.4211826145534054,0.922856110206604,4999,True,4,0.0165473909287283,5
AUDNZD,H1,TrendFollowing,"fast=8,slow=21",-0.0709741914719465,0.4882922890593459,-0.345299216310642,0.9363052232604306,4999,True,4,0.0294996302589272,5
AUDNZD,H1,TrendFollowing,"fast=10,slow=30",-0.0293219144866868,0.4943480016148567,-0.1426271670445223,0.973184276565868,4999,True,5,0.0367339374032589,5
AUDNZD,H1,TrendFollowing,"fast=13,slow=34",-0.0165547384123011,0.4943480016148567,-0.0805230677685187,0.9847713169943364,4999,True,5,0.0381150356794539,5
AUDNZD,H1,TrendFollowing,"fast=21,slow=55",-0.048036743674474,0.497375857892612,-0.2336754122404471,0.9564417885214164,4999,True,4,0.0463867614337081,5
AUDNZD,H1,TrendFollowing,"fast=50,slow=200",0.0094462644881821,0.5034315704481227,0.0459466997208379,1.0087947849069967,4999,True,4,0.0448766845867074,5
AUDNZD,H4,MeanReversion,"window=20,z=1.75",0.0540056266442781,0.5214132762312634,0.3007943899236653,1.1297389800023314,939,True,4,0.0224370331113535,5
AUDNZD,H4,MeanReversion,"window=20,z=2.0",0.0246173737677591,0.5236363636363637,0.1746745859662219,1.0975907581090931,553,True,4,0.0118645409758593,5
AUDNZD,H4,MeanReversion,"window=50,z=2.0",0.0336601920226624,0.5343511450381679,0.2321785426450579,1.1173692199712248,658,True,5,0.0200770219019518,5
AUDNZD,H4,MeanReversion,"window=20,z=2.25",0.029973412377284,0.5407166123778502,0.2640934161366864,1.2073548207693814,307,True,4,0.0245260354678388,5
AUDNZD,H4,MeanReversion,"window=50,z=2.25",0.0111355934047822,0.5546218487394958,0.1050444408141241,1.0687678352070429,360,True,4,0.0156874983708896,5
AUDNZD,H4,MeanReversion,"window=20,z=2.5",0.0101176801490853,0.5207100591715976,0.1264322555210843,1.1251812269550878,169,True,4,0.0112702573310191,5
AUDNZD,M15,MeanReversion,"window=20,z=1.5",0.0571042971248886,0.5383458646616541,0.947790111674088,1.3964234480651687,1350,True,4,0.025595766063133,5
AUDNZD,M15,MeanReversion,"window=50,z=1.5",0.0417150701608468,0.5246356696738376,0.6603790152110051,1.2614413760714416,1460,True,4,0.015066231553673,5
AUDNZD,M15,MeanReversion,"window=20,z=1.75",0.0538474436955445,0.5546697038724373,1.0193876129477577,1.5612218208256945,886,True,4,0.0222693554048836,5
AUDNZD,M15,MeanReversion,"window=50,z=1.75",0.0346365563276631,0.5320247933884298,0.6072722783122483,1.3026082392902716,980,True,4,0.0126504476348547,5
AUDNZD,M15,MeanReversion,"window=20,z=2.0",0.0461437527628305,0.5688729874776386,0.9638082257940668,1.7033688531804454,561,True,4,0.0169660117838832,5
AUDNZD,M15,MeanReversion,"window=20,z=2.25",0.0445576239101884,0.599388379204893,1.067139125065002,2.221230815152151,329,True,4,0.0107387432777277,5
AUDNZD,M15,MeanReversion,"window=20,z=2.5",0.0356082213679744,0.6208791208791209,0.982287077143196,2.907826931279068,183,True,5,0.0123426477990775,5
AUDUSD,H1,MeanReversion,"window=20,z=1.5",0.1028213662050619,0.5351640991292699,0.472070830433094,1.1750292492621903,1499,True,4,0.0203156904089379,5
AUDUSD,H1,MeanReversion,"window=50,z=1.5",0.06522725684619,0.5325177076625885,0.306432027713744,1.1053723626161074,1561,True,5,0.0208597993325136,5
AUDUSD,H1,MeanReversion,"window=20,z=2.0",0.0646180450211102,0.5430579964850615,0.4626576587714573,1.286941936473231,574,True,4,0.0101847164262064,5
AUDUSD,H1,MeanReversion,"window=50,z=2.25",0.0239456309657162,0.5425531914893617,0.2064951834526859,1.1550505483928035,377,True,5,0.014292800327038,5
AUDUSD,H1,MeanReversion,"window=100,z=2.25",0.0154020022239416,0.5306122448979592,0.1161719692323683,1.0787391472797152,442,True,5,0.010930365779923,5
AUDUSD,H1,MeanReversion,"window=50,z=2.5",0.0079796863297433,0.5311004784688995,0.0913973469381978,1.084480198666641,209,True,4,0.0111519346419254,5
AUDUSD,H4,MeanReversion,"window=20,z=2.0",0.097808561813372,0.506896551724138,0.3264152754497757,1.1950016647129462,580,True,4,0.0157131296315644,5
AUDUSD,H4,TrendFollowing,"fast=10,slow=30",-0.3487931854243986,0.4895833333333333,-0.4197205316106946,0.9272614523870688,4999,True,4,0.0603428024830818,5
AUDUSD,H4,TrendFollowing,"fast=13,slow=34",-0.2675705563897077,0.4921875,-0.3219349104851051,0.943723282588551,4999,True,4,0.0613179250967101,5
AUDUSD,H4,VolatilityExpansion,"ema=20,mult=2.5",-0.0349129959435975,0.5056179775280899,-0.1894042523692688,0.8572960712406469,266,True,4,0.0201254227170365,5
AUDUSD,M15,MeanReversion,"window=20,z=1.5",0.0537723826754438,0.5322230267921796,0.6544173221198417,1.2459846036420028,1410,True,4,0.0186563520324447,5
AUDUSD,M15,MeanReversion,"window=50,z=1.5",0.0554265422602234,0.5350631136044881,0.6570836230892224,1.2446094423217524,1460,True,4,0.0222081708534006,5
AUDUSD,M15,MeanReversion,"window=100,z=1.5",0.0669726162789313,0.5273206056616195,0.7957960499124473,1.290311539085519,1547,True,4,0.0155327834902047,5
AUDUSD,M15,MeanReversion,"window=20,z=1.75",0.0377445086239829,0.540478905359179,0.5431994193010916,1.2614380254007735,890,True,4,0.0119738188984498,5
AUDUSD,M15,MeanReversion,"window=50,z=1.75",0.0342687415780986,0.5319587628865979,0.4689598580372335,1.209111527447267,988,True,4,0.0162284874639283,5
AUS200Cash,H1,MeanReversion,"window=50,z=1.5",0.1432381082938786,0.5366017461383479,0.420465635714696,1.1700398933212273,1490,True,4,0.0330907108420361,5
AUS200Cash,H1,MeanReversion,"window=50,z=1.75",0.1575292329664124,0.5521783181357649,0.5171783559521834,1.28107905534851,988,True,5,0.0283295634576989,5
AUS200Cash,H1,MeanReversion,"window=50,z=2.75",0.0321604948780154,0.5818181818181818,0.290285081479839,1.4524922800123543,109,True,5,0.0109740579433933,5
AUS200Cash,H1,MeanReversion,"window=100,z=3.0",0.02786080262399,0.6190476190476191,0.4231971521275106,1.825679290730546,62,True,4,0.0158736144893957,5
AUS200Cash,H4,MeanReversion,"window=20,z=2.0",0.0653565910612076,0.5085324232081911,0.1782032433580833,1.0976250958144584,588,True,4,0.0192737879779215,5
AUS200Cash,H4,TrendFollowing,"fast=10,slow=30",0.0403145318237671,0.5063189568706118,0.0402527932788101,1.007165635663806,4999,True,4,0.0481821763740633,5
AUS200Cash,H4,VolatilityExpansion,"ema=20,mult=1.5",-0.0135233335605156,0.5023771790808241,-0.0249541375886386,0.99129674138834,1265,True,4,0.1061425352722265,5
AUS200Cash,H4,VolatilityExpansion,"ema=50,mult=1.5",-0.0748699227545499,0.5114806017418844,-0.1044059276527471,0.9746362018434154,2534,True,4,0.1018013876875173,5
AUS200Cash,H4,VolatilityExpansion,"ema=50,mult=2.0",-0.0518204474805223,0.5064377682403434,-0.0844329808300371,0.9764379522236768,1870,True,5,0.1575409139518121,5
