symbol,timeframe,strategy,params,total_return,win_rate,sharpe_ratio,profit_factor,num_trades,robust,oos_profitable_windows,total_oos_return,total_windows
ACS,H4,MeanReversion,"window=100,z=1.5",-0.34177903585612346,0.4953271028037383,-0.14573485036532907,0.9445000498111212,1658,True,4,0.15714808383509804,5
ACS,H4,VolatilityExpansion,"ema=20,mult=2.0",0.653505431612457,0.5129533678756477,0.33676191322705645,1.1754377898422965,994,True,4,0.2075635844894962,5
ACS,H4,VolatilityExpansion,"ema=50,mult=3.0",0.48667848224395993,0.5162569389373514,0.22441709267425647,1.1031759339084457,1306,True,4,0.020160476794926385,5
ACS,H4,VolatilityExpansion,"ema=50,mult=3.5",0.6589813970513098,0.5242195909580194,0.3240521637638166,1.1866630321465454,958,True,4,0.11772273613402984,5
ACS,M15,VolatilityExpansion,"ema=20,mult=1.5",0.04673120097932759,0.5139318885448917,0.08502036763270454,1.0272313335846963,1920,True,4,0.11784055050118969,5
ACS,M15,VolatilityExpansion,"ema=20,mult=2.0",0.08736401733886112,0.5224450811843362,0.1871160372346296,1.0761461254117117,1239,True,5,0.12847612712633338,5
ACS,M15,VolatilityExpansion,"ema=20,mult=2.5",0.10286895401244911,0.536697247706422,0.2656134925800601,1.1427945717988408,750,True,5,0.08433012359905279,5
ACS,M15,VolatilityExpansion,"ema=50,mult=2.5",0.18338105964581541,0.530729465824239,0.33106287662458916,1.1046088890412826,2091,True,5,0.16662339447655572,5
ACS,M15,VolatilityExpansion,"ema=20,mult=3.0",0.08541444478178062,0.5413533834586466,0.27239865649110556,1.1861228330142353,451,True,5,0.09848826258145216,5
ACS,M15,VolatilityExpansion,"ema=50,mult=3.0",0.16270776855736324,0.5369843527738265,0.3180572607954742,1.1137092052446131,1687,True,4,0.156908962534819,5
ACS,M15,VolatilityExpansion,"ema=20,mult=3.5",0.05151435620499911,0.5688888888888889,0.2105400931556121,1.194964477599286,251,True,5,0.07576881411136616,5
ACS,M15,VolatilityExpansion,"ema=50,mult=3.5",0.05770321682911672,0.5383275261324042,0.12713841115119537,1.048348290671779,1372,True,4,0.1056989173784535,5
ASM,H1,MeanReversion,"window=20,z=2.0",-0.06798860865557976,0.5076335877862596,-0.06853538595454196,0.9570572603809956,536,True,4,0.16878586259597084,5
ASM,H1,TrendFollowing,"fast=8,slow=21",-0.026505941720209147,0.5007209062821834,-0.009764763681958197,0.9979150187852919,4999,True,4,0.1243227110213474,5
ASM,H1,TrendFollowing,"fast=10,slow=30",0.2655593541227781,0.5089598352214212,0.09783365286253998,1.0211318808054681,4999,True,4,0.30397528186455136,5
