symbol,timeframe,strategy,params,total_return,win_rate,sharpe_ratio,profit_factor,num_trades,robust,oos_profitable_windows,total_windows
BTCUSD,H1,MeanReversion,"window=50,z=1.5",0.0634344634467271,0.533879374534624,0.08522165371571759,1.0306588293874481,1342,True,4,5
BTCUSD,H1,MeanReversion,"window=50,z=1.75",0.013945501665976301,0.535832414553473,0.02190535626387369,1.0095848850828824,906,True,4,5
BTCUSD,H1,MeanReversion,"window=100,z=1.75",0.08125627799492652,0.5419501133786848,0.12157371075645719,1.0546436829239973,881,True,4,5
BTCUSD,H1,MeanReversion,"window=50,z=2.0",0.11550042556509299,0.5516074450084603,0.239772280737227,1.131697033096854,590,True,4,5
BTCUSD,H1,MeanReversion,"window=100,z=2.0",0.15864923461006653,0.5574614065180102,0.2898298544954185,1.1664848442710047,582,True,4,5
BTCUSD,H1,MeanReversion,"window=100,z=2.25",0.05443186590530347,0.5454545454545454,0.12612952034871544,1.0867857151874576,351,True,4,5
BTCUSD,H1,MeanReversion,"window=100,z=2.5",-0.0028023160497449018,0.5236051502145923,-0.00761048123952929,0.9937518607253617,232,True,4,5
BTCUSD,H1,VolatilityExpansion,"ema=50,mult=3.0",-0.08894065240262294,0.4567901234567901,-0.14985744320281832,0.934777418993203,809,True,4,5
BTCUSD,H4,MeanReversion,"window=50,z=1.5",-0.3201633095408847,0.5158959537572254,-0.1738721209894717,0.9395004502815574,1383,True,4,5
BTCUSD,H4,MeanReversion,"window=20,z=2.75",-0.15405682917026164,0.49074074074074076,-0.28374718429722495,0.7125408059428462,107,True,4,5
BTCUSD,H4,VolatilityExpansion,"ema=20,mult=2.5",0.30514045404569345,0.5040431266846361,0.27707271847632164,1.2115600128818205,370,True,4,5
BTCUSD,M15,MeanReversion,"window=100,z=2.0",-0.015433540006202118,0.5456204379562044,-0.04724062432932142,0.9736733320908372,547,True,4,5
BTCUSD,M15,MeanReversion,"window=20,z=2.25",0.04931378808973774,0.6199261992619927,0.2201794914245933,1.1846085209460744,270,True,4,5
