Symbol,Strategy,WinRate,Net,MaxR
COCOA-MAR26,Fixed,39.75903614457831,3196.714285714287,2.0
COCOA-MAR26,Chandelier,40.36144578313253,1825.9999999999973,5.755372313843081
COCOA-MAR26,SMA_Trail,48.795180722891565,9704.359999999993,11.114877505567929
PALL-MAR26,Fixed,42.19653179190752,904.2714285714285,2.0
PALL-MAR26,Chandelier,37.57225433526011,-172.0678571428582,3.470000000000002
PALL-MAR26,SMA_Trail,40.46242774566474,63.40214285714296,6.412974683544303
US500Cash,Fixed,41.31736526946108,1121.5399999999981,2.0
US500Cash,Chandelier,35.92814371257485,68.49428571428416,6.669166117336888
US500Cash,SMA_Trail,43.712574850299404,345.751314285696,6.35838332234677
Spotify,Fixed,42.77108433734939,538.0228571428574,2.0
Spotify,Chandelier,42.168674698795186,184.49214285714356,8.029740447007908
Spotify,SMA_Trail,50.0,345.0586285714281,10.281445565969694
EliLilly,Fixed,35.83815028901734,275.5957142857128,2.0
EliLilly,Chandelier,36.99421965317919,549.7614285714301,8.941968430826403
EliLilly,SMA_Trail,50.28901734104046,1655.029,11.31898229129024
GOLD,Fixed,39.88095238095239,826.0557142857174,2.0
GOLD,Chandelier,39.285714285714285,826.4149999999995,5.664454206857046
GOLD,SMA_Trail,44.047619047619044,1389.3763142857183,13.04025932447598
