symbol,signals,wins,losses,win_rate,net_pips,expectancy
IronMountain,80,25,55,31.25,-261057.1428571434,-3263.2142857142926
FiveBelow,99,33,66,33.33333333333333,-324914.2857142861,-3281.9624819624855
Krones,114,31,83,27.192982456140353,-378914.2857142852,-3323.8095238095193
AmericanTower,89,30,59,33.70786516853933,-297528.5714285713,-3343.017656500801
Fortinet,102,30,72,29.411764705882355,-356028.57142857113,-3490.4761904761876
Ipsen,82,22,60,26.82926829268293,-286382.8571428563,-3492.4738675958083
Autodesk,95,32,63,33.68421052631579,-334142.85714285827,-3517.2932330827184
Roper,93,31,62,33.33333333333333,-327985.7142857087,-3526.728110599018
NRG,78,25,53,32.05128205128205,-276114.285714286,-3539.9267399267433
CanadianNationalRailway,107,26,81,24.299065420560748,-380085.71428571397,-3552.202937249663
Safran,100,32,68,32.0,-356142.85714285646,-3561.4285714285647
LamResearch,110,33,77,30.0,-396528.57142857125,-3604.805194805193
JohnsonControls,84,25,59,29.761904761904763,-305928.57142857136,-3642.0068027210878
Msci,108,39,69,36.11111111111111,-395228.5714285728,-3659.5238095238224
DardenRestaurants,93,30,63,32.25806451612903,-343328.5714285715,-3691.7050691244244
Essilor,99,31,68,31.313131313131315,-366057.1428571419,-3697.546897546888
Alibaba_turbo,80,26,54,32.5,-300000.0000000005,-3750.0000000000064
Valero,103,33,70,32.038834951456316,-398485.714285715,-3868.7933425797573
Salmar,86,28,58,32.55813953488372,-335717.1428571432,-3903.6877076411997
BectonDickinson,92,27,65,29.347826086956523,-360457.1428571437,-3918.012422360258
JabilCircuit,92,31,61,33.69565217391305,-365828.57142857264,-3976.3975155279636
Wacker,90,25,65,27.77777777777778,-363485.7142857142,-4038.7301587301577
BCHUSD,99,32,67,32.323232323232325,-400571.42857142806,-4046.176046176041
Fedex,98,32,66,32.6530612244898,-404700.0000000019,-4129.591836734713
Siemens,91,29,62,31.868131868131865,-376700.0000000002,-4139.560439560441
CapitalOne,84,29,55,34.523809523809526,-353099.9999999994,-4203.571428571422
Nexans,98,28,70,28.57142857142857,-413704.2857142845,-4221.472303206985
Lowes,88,26,62,29.545454545454547,-371700.00000000006,-4223.863636363637
Hershey,102,30,72,29.411764705882355,-432328.5714285714,-4238.515406162465
WesternDigital,99,33,66,33.33333333333333,-427271.4285714285,-4315.873015873015
Alibaba,81,25,56,30.864197530864196,-351385.7142857142,-4338.095238095237
Merck,86,24,62,27.906976744186046,-378999.99999999965,-4406.976744186042
AdvMicroDev,99,32,67,32.323232323232325,-440171.428571427,-4446.1760461760305
RaymondJames,93,29,64,31.182795698924732,-419428.57142857014,-4509.984639016883
ThermoFisher,90,31,59,34.44444444444444,-406914.28571428725,-4521.269841269858
Hufvudstaden,102,22,80,21.568627450980394,-471457.1428571415,-4622.128851540603
GoldenOcean,93,24,69,25.806451612903224,-430234.28571428545,-4626.17511520737
Fiserv,83,27,56,32.53012048192771,-384800.0000000006,-4636.14457831326
Biogen,106,31,75,29.245283018867923,-497071.4285714285,-4689.353099730458
Twilio,104,31,73,29.807692307692307,-489800.0000000006,-4709.61538461539
Signet,94,28,66,29.78723404255319,-443600.0000000006,-4719.148936170219
Synopsys,79,29,50,36.708860759493675,-375414.2857142851,-4752.079566003609
Hochtief,98,33,65,33.6734693877551,-466285.71428571455,-4758.017492711373
DoorDash,99,30,69,30.303030303030305,-473771.42857143,-4785.5699855699995
NXP,91,29,62,31.868131868131865,-439814.28571428667,-4833.124018838315
AUS200Cash,92,32,60,34.78260869565217,-466914.2857143126,-5075.155279503398
Starbucks,92,20,72,21.73913043478261,-474185.7142857137,-5154.192546583844
Broadridge,81,27,54,33.33333333333333,-421542.85714285966,-5204.232804232835
GeneralDynamics,94,29,65,30.851063829787233,-498085.7142857112,-5298.784194528842
AutomaticData,88,26,62,29.545454545454547,-468442.8571428579,-5323.214285714294
Amphenol,82,23,59,28.04878048780488,-437885.7142857143,-5340.0696864111505
AnalogDevices,98,31,67,31.63265306122449,-527271.4285714274,-5380.320699708443
Holmen,88,26,62,29.545454545454547,-476985.71428571426,-5420.292207792208
Adobe,112,37,75,33.035714285714285,-609857.1428571403,-5445.153061224467
Roku,102,31,71,30.392156862745097,-589471.4285714286,-5779.131652661065
F5Networks,94,27,67,28.723404255319153,-548571.4285714286,-5835.866261398177
Google,101,31,70,30.693069306930692,-627699.9999999994,-6214.851485148509
Crowdstrike,96,32,64,33.33333333333333,-608499.9999999944,-6338.541666666609
Northern,80,21,59,26.25,-512428.5714285708,-6405.357142857135
