strategy,timeframe,sharpe,return,trades,win_rate,max_dd,p_value,validated,error
Tweezer Tops/Bottoms,D1,-7.033197571163284,-14.864365366193288,21,23.809523809523807,19.481281639008866,0.030732191860725015,False,
CCI,M15,-0.42006665233213825,-73.52243971423567,1080,33.05555555555556,152.15197196342706,0.19246063392872376,False,
CCI,H1,-1.3384969347223952,-60.83848128213864,349,31.51862464183381,76.4639366229839,0.058322975352813944,False,
CCI,H4,0.19178200290913466,3.3175819914766,91,35.16483516483517,21.197169077366087,0.454504119310033,False,
CCI,D1,-6.897127918258845,-17.837575623561623,18,16.666666666666664,22.01970140799302,0.04552431805486647,False,
DMI,M15,-0.21879223648050827,-46.15282795241777,1141,34.355828220858896,135.43444611357464,0.3208831909610479,False,
DMI,H1,0.22507912162045035,18.65536830322093,320,36.25,60.43405075000972,0.400123395031663,False,
DMI,H4,1.7327354101615793,26.85059380752131,78,41.02564102564102,23.651453260855014,0.17057928580612447,False,
DMI,D1,-84.09048315407733,-18.27502740312928,9,0.0,18.27502740312928,1.9439787096121762e-07,False,
Money Flow Index,M15,-0.3581945955188871,-42.288489002752804,688,34.156976744186046,114.89143248605262,0.27721628370617335,False,
Money Flow Index,H1,-0.6149955975268554,-24.073190482820372,200,32.5,52.133374418897915,0.2926637531553485,False,
Money Flow Index,H4,-4.248844009585132,-35.393322683551546,64,25.0,44.31547833770989,0.018782792980789283,False,
Money Flow Index,D1,-3.1678801043788964,-3.7822043072349154,7,28.57142857142857,9.21972058862053,0.3211626432788325,False,
Parabolic SAR,M15,-0.1181488301598686,-59.19748329908058,5916,31.643002028397564,146.75428802808352,0.2835333033043584,False,
Parabolic SAR,H1,-0.11353163454205838,-19.64114553061756,1578,31.55893536121673,90.87897136495482,0.3882202923429148,False,
Parabolic SAR,H4,1.2284798284248142,69.90833087271534,446,34.97757847533632,24.671399117990315,0.05164292657659371,False,
Parabolic SAR,D1,-2.205845317104746,-10.969169072847253,51,29.411764705882355,14.947900064548195,0.1652769919675005,False,
Rate of Change,M15,-0.31699235435079287,-72.45999717374883,1090,34.58715596330275,181.3092189827503,0.25502872213127437,False,
Rate of Change,H1,-0.25487149937354675,-18.468896686252084,316,35.75949367088608,105.18313279190656,0.3879329372634912,False,
Rate of Change,H4,1.1114318946699258,16.53136994232953,76,39.473684210526315,22.277124980569845,0.2730613500163942,False,
Rate of Change,D1,-14.861176879845093,-13.803508381063947,9,11.11111111111111,13.803508381063947,0.014676148053004186,False,
Triple EMA 8/21/55,M15,0.308162680050072,210.48881735413167,2092,34.608030592734224,135.83627193873735,0.18740730501859348,False,
Triple EMA 8/21/55,H1,0.5975313974138733,63.0832455274906,638,34.79623824451411,63.59989901652076,0.17123262117253274,False,
Triple EMA 8/21/55,H4,2.4033710816690443,56.092602842154534,144,38.19444444444444,16.755517229948307,0.036162069420047294,True,
Triple EMA 8/21/55,D1,15.281560933661508,26.220856039762058,12,75.0,1.2831884057971001,0.004282312523186064,False,
Williams %R,M15,-0.29342386787683883,-67.54423059039006,1391,33.57296908698778,143.6087782588276,0.24542753373677034,False,
Williams %R,H1,-1.1096229809528197,-73.04598874246024,436,32.3394495412844,105.86351371534938,0.07279850625551798,False,
