strategy,symbol,timeframe,sharpe_ratio,sortino_ratio,win_rate,total_trades,total_return_pct,max_drawdown_pct,profit_factor,avg_win,avg_loss,avg_rr,expectancy,p_value
EMA Cross 21/50,USDCAD,M5,-1.4749221959409722,-3.8396184320656963,0.3063583815028902,519,-70.95069183589983,74.77393935045524,0.806608959330542,186.11706765272734,101.91023038992678,1.8262844362200943,-13.67065353292869,0.017469402992041316
EMA Cross 9/21,AUDUSD,M5,-1.4812236385563202,-2.6637548162686535,0.29473684210526313,760,-93.11353847689576,99.54019354212433,0.7592974889356229,131.12821677750725,72.30668113243215,1.81350069902035,-12.346921748450015,0.005170298081146898
RSI Momentum,USDCAD,M15,-1.608530220484919,-5.097149769842248,0.2887323943661972,284,-55.93663664633068,90.31650434211238,0.7773052272254157,238.1025586401553,124.34689838181092,1.9148250719455358,-19.695998819130523,0.04468338664898607
High/Low Breakout 20,AUDUSD,M15,-1.6352119945926757,-4.089926795916039,0.2285012285012285,407,-77.1806900587002,98.13127131301742,0.7681477727893227,274.95347454518964,106.35380874943338,2.585271536376966,-19.22462608014606,0.01928150673173611
ADX Trend Following,AUDUSD,M15,-1.8638947519134184,-5.38650350048444,0.3013698630136986,292,-64.47613005112875,80.79251231738556,0.7516688578977183,221.77452721775327,127.27338921703512,1.7425050796719845,-22.080866455866015,0.02305558737502739
MACD Signal Cross,USDCAD,M15,-1.8906480849786298,-6.685335714741413,0.2647058823529412,272,-65.48126467879852,82.91305248194793,0.7302332491611543,246.18282129579262,121.36644800588459,2.028425692114316,-24.07399436720533,0.02547336323733234
ADX Trend Following,USDCAD,M15,-1.9824938037569797,-6.953615337769558,0.26506024096385544,249,-59.95633371208163,89.06570575219659,0.729063425623259,244.44930624331934,120.92506876102323,2.021494043773582,-24.0788488803541,0.02516660841629624
ATR Breakout,USDCAD,M5,-2.03940777832685,-7.572563309759008,0.2025862068965517,232,-60.196306463054505,78.46640554293242,0.6985559317418524,296.80173069740016,109.12192343761345,2.7199092661438096,-26.887390056813274,0.0260384028583217
BB Squeeze Breakout,USDCAD,M5,-2.0583013471892277,-4.221582074550546,0.2719298245614035,456,-87.58359193374834,114.20146174535708,0.671038258194164,144.07975327058696,80.19351987628797,1.7966508203263094,-19.206928055646536,0.0029550418565700842
EMA Cross 21/50,AUDUSD,M5,-2.0727368132747173,-3.0536947139027157,0.30265486725663715,565,-91.26944852989757,92.08402046291721,0.6806770236737396,113.77326952555916,72.72817796911035,1.5643629842326283,-16.28260713444046,0.0010129564511235898
BB Squeeze Breakout,AUDUSD,M5,-2.282532570681544,-3.695507780692333,0.2830957230142566,491,-91.72418614374139,95.91497355473318,0.6664088850431785,131.82426866481006,78.11361351926912,1.6875966009726533,-18.68109697428541,0.0007755266057211426
Range Trading,USDCAD,H1,-2.356814754937155,-4.78158787126938,0.28923076923076924,325,-50.327374331531196,54.40140626247405,0.660826303330935,104.31375422491126,64.51404491432517,1.6169154230437763,-15.683850701746017,0.003956288724658892
Stochastic Reversal,AUDUSD,H1,-2.659309690443489,-8.46731108363997,0.32,125,-43.18333163905281,45.441765371414675,0.6899203936157801,240.2049388983321,163.84153788045379,1.4660808364335332,-34.54666531124229,0.032242083644926534
RSI Extreme Reversal,USDCAD,H1,-2.8278419968408506,-10.0031268594302,0.31313131313131315,99,-31.671508951536513,37.48909593458211,0.682124244627797,219.23664234173057,146.5218648198132,1.49627253660291,-31.991423183370188,0.0404690602191981
Stochastic Reversal,USDCAD,H1,-3.3034425572253467,-11.157009231277053,0.296875,128,-48.253478024938794,55.95748406826969,0.6344156004010059,220.35921884469985,146.6555346510275,1.502563264107646,-37.69802970698345,0.010285119885239365
S/R Bounce,USDCAD,H1,-3.695593257243946,-8.841046639163531,0.28313253012048195,166,-61.396913993150484,68.9060876859492,0.5876090874388934,186.1350248864546,125.10955940317994,1.4877762001112407,-36.986092766958116,0.0016066534375632439
RSI Extreme Reversal,AUDUSD,H1,-3.8133836279221707,-9.167331140059074,0.28703703703703703,108,-50.20048563823146,54.082821955617696,0.5874084267869376,230.55048676873037,158.0144630344648,1.4590467375030387,-46.48193114651065,0.007254641938983322
Stochastic Momentum,USDCAD,H1,-3.973618934426038,-14.888653863988187,0.25,100,-49.468154487578545,54.349399525397104,0.5790025559018402,272.1364538961601,156.66969061549133,1.7370076677055206,-49.468154487578474,0.0072085401076989455
MACD Signal Cross,AUDUSD,H1,-4.403263453125368,-13.635782801786053,0.21686746987951808,83,-45.727272017240864,45.727272017240864,0.5379331790488522,295.75107719066204,152.24994755624624,1.9425364798986329,-55.09309881595287,0.006987187534903599
MACD Signal Cross,USDCAD,H1,-4.476075395578394,-9.506596342031104,0.22826086956521738,92,-51.655412234893774,56.80316616699852,0.5187566227827337,265.15231633020863,151.17943473836283,1.7538914389320996,-56.147187211841086,0.004252726181672816
S/R Bounce,USDCAD,H4,-4.672600056238819,-11.631359150933696,0.23255813953488372,43,-24.48568795377447,26.5650581987644,0.5179417501216744,263.08356043926597,153.92134544757886,1.7092077754015254,-56.943460357614946,0.03164934329498901
BB Reversal,USDCAD,H4,-5.120744105409363,-20.197717726523866,0.3,30,-14.553446737393605,17.835141210599996,0.5091254624417406,167.71722334033402,141.18093732392222,1.1879594123640613,-48.511489124645344,0.04648831324338766
Stochastic Momentum,AUDUSD,H4,-6.69533064117391,-27.946092797630165,0.1724137931034483,29,-24.987827062746973,24.987827062746973,0.3900715823157638,319.6126285771617,170.70191038168778,1.8723435951156668,-86.1649209060241,0.016905737224790395
Volume Breakout,AUDUSD,H4,-9.77406432556019,-32.11783563733741,0.09090909090909091,11,-10.586921091299665,10.586921091299665,0.2624896853107531,376.80253825818676,143.54946473881526,2.624896853107532,-96.24473719363326,0.04007029772647112
