strategy,symbol,timeframe,sharpe_ratio,sortino_ratio,win_rate,total_trades,total_return_pct,max_drawdown_pct,profit_factor,avg_win,avg_loss,avg_rr,expectancy,p_value
ADX Trend Following,USDCAD,H4,13.086219560659636,30.8543190412863,0.7692307692307693,13,36.680253967075075,5.147817945854985,4.946337021969964,459.7501357905693,309.8253203993945,1.483901106590989,282.15579974673153,0.007235145008420446
Opening Range Breakout,USDCAD,H1,3.925441202835165,8.395574540700848,0.5431034482758621,116,116.7834653212017,20.064347370852683,1.72825490224388,439.9113722592438,302.5673569851358,1.4539287272845343,100.67540113896695,0.00456849723153622
BB Reversal,AUDUSD,M5,1.2796001747773595,2.025754917803343,0.4455922865013774,1452,2514.473725456906,442.2935882994463,1.2809799945973284,1771.7798926895687,1114.4386276767873,1.5898407042683964,171.6380821558795,0.0010883781360566949
S/R Bounce,AUDUSD,M5,0.8750656992590773,1.247709208941198,0.43666666666666665,1800,2707.359172350897,1017.4421702526752,1.1920099602687266,2138.3532738824615,1393.2902727633648,1.5347507376487926,148.86074260531268,0.00974656044593869
Range Trading,AUDUSD,M5,0.5053348196646055,0.9776760714177013,0.34385113268608414,3708,1420.8750226742336,498.47984226718245,1.1235194595170384,1013.6567375194957,482.31649394965774,2.101642283096578,32.07559615907218,0.02633960079127966
Range Trading,USDCAD,M5,0.4325676013005228,0.8340251252734143,0.3502673796791444,3740,1456.0575923556692,682.2555874409944,1.0927430898636408,1309.6153762457554,659.6598250615012,1.9852889724240184,30.11303956751118,0.04787702419302673
MACD Signal Cross,AUDUSD,M5,-0.9154183426199503,-1.629135603880898,0.3236282194848824,893,-85.00735088630202,109.1198865161588,0.8583251984744488,178.20418103868494,99.34063478279825,1.7938699649777419,-9.519300211232029,0.04268344030784143
High/Low Breakout 20,USDCAD,M5,-0.9346016220130307,-1.72807665147384,0.25386996904024767,1292,-92.74675909633501,123.53250210921647,0.7998432871392004,112.99510842492707,48.16743396362743,2.3458818360607046,-7.253104316997501,0.017294135428163108
ADX Trend Following,AUDUSD,M5,-1.0191997003353208,-1.8500023433129886,0.3175033921302578,737,-84.82140488832998,116.34354928821686,0.8461633519373538,199.38110893528383,109.83529876432155,1.8152735156946647,-11.65804041736407,0.04098073346397026
High/Low Breakout 20,AUDUSD,M5,-1.0610595070740965,-1.5240937746359016,0.25,1288,-97.52041350042443,104.59491197053619,0.7791121358105753,106.82373918079752,45.845571512211066,2.3300775987129922,-7.678243838958924,0.00831584253863468
