strategy,timeframe,sharpe_ratio,win_rate,total_trades,total_return_pct,max_drawdown_pct,profit_factor,p_value
H4 Trend + M15 Entry,H4,4.023480568228715,0.44871794871794873,78,70.43184006038842,17.414250604002664,1.7419913994257974,0.014537220221427083
Triple EMA 8/21/55,H4,2.4033710816690443,0.3819444444444444,144,56.092602842154534,16.755517229948307,1.5204546417379727,0.036162069420047294
